str;data;rozmiar
moderators.stackexchange.com.7z;02-Dec-2018 17:56;2.3M
softwarerecs.meta.stackexchange.com.7z;02-Dec-2018 18:41;2.3M
korean.stackexchange.com.7z;02-Dec-2018 17:04;2.2M
philosophy.meta.stackexchange.com.7z;02-Dec-2018 18:00;2.2M
cstheory.meta.stackexchange.com.7z;02-Dec-2018 16:12;2.1M
history.meta.stackexchange.com.7z;02-Dec-2018 16:58;2.1M
music.meta.stackexchange.com.7z;02-Dec-2018 17:57;2.1M
webapps.meta.stackexchange.com.7z;03-Dec-2018 05:29;2.1M
boardgames.meta.stackexchange.com.7z;02-Dec-2018 15:59;2.0M
hinduism.meta.stackexchange.com.7z;02-Dec-2018 16:57;2.0M
meta.ja.stackoverflow.com.7z;02-Dec-2018 17:49;2.0M
politics.meta.stackexchange.com.7z;02-Dec-2018 18:08;2.0M
scifi.stackexchange.com.7z;02-Dec-2018 18:28;199.3M
bioinformatics.meta.stackexchange.com.7z;02-Dec-2018 15:57;198.7K
es.stackoverflow.com.7z;02-Dec-2018 16:41;198.5M
dba.stackexchange.com.7z;02-Dec-2018 16:15;195.5M
meta.stackoverflow.com.7z;02-Dec-2018 17:55;193.1M
coffee.meta.stackexchange.com.7z;02-Dec-2018 16:10;191.2K
spanish.stackexchange.com.7z;02-Dec-2018 18:42;19.5M
astronomy.stackexchange.com.7z;02-Dec-2018 15:56;19.3M
apple.stackexchange.com.7z;02-Dec-2018 15:49;180.8M
cogsci.stackexchange.com.7z;02-Dec-2018 16:10;18.2M
mathematica.stackexchange.com.7z;02-Dec-2018 17:45;174.1M
monero.meta.stackexchange.com.7z;02-Dec-2018 17:56;172.9K
wordpress.stackexchange.com.7z;03-Dec-2018 05:33;172.1M
craftcms.meta.stackexchange.com.7z;02-Dec-2018 16:11;170.0K
pm.stackexchange.com.7z;02-Dec-2018 18:08;17.8M
engineering.stackexchange.com.7z;02-Dec-2018 16:28;17.2M
economics.stackexchange.com.7z;02-Dec-2018 16:18;17.1M
expressionengine.stackexchange.com.7z;02-Dec-2018 16:43;17.1M
chinese.stackexchange.com.7z;02-Dec-2018 16:01;17.0M
worldbuilding.stackexchange.com.7z;03-Dec-2018 05:37;167.5M
gaming.stackexchange.com.7z;02-Dec-2018 16:49;167.2M
security.stackexchange.com.7z;02-Dec-2018 18:30;163.2M
reverseengineering.stackexchange.com.7z;02-Dec-2018 18:16;16.0M
salesforce.stackexchange.com.7z;02-Dec-2018 18:25;150.0M
meta.askubuntu.com.7z;02-Dec-2018 17:49;15.5M
codegolf.meta.stackexchange.com.7z;02-Dec-2018 16:02;15.4M
craftcms.stackexchange.com.7z;02-Dec-2018 16:11;15.3M
meta.superuser.com.7z;02-Dec-2018 17:56;15.3M
esperanto.meta.stackexchange.com.7z;02-Dec-2018 16:41;144.1K
rpg.stackexchange.com.7z;02-Dec-2018 18:18;141.4M
vi.stackexchange.com.7z;03-Dec-2018 05:29;14.6M
chess.stackexchange.com.7z;02-Dec-2018 16:01;14.5M
english.meta.stackexchange.com.7z;02-Dec-2018 16:29;14.3M
stackexchange_reviews.xml;03-Dec-2018 12:19;14.3K
pets.stackexchange.com.7z;02-Dec-2018 18:00;14.0M
conlang.meta.stackexchange.com.7z;02-Dec-2018 16:10;139.0K
magento.stackexchange.com.7z;02-Dec-2018 17:08;136.9M
civicrm.meta.stackexchange.com.7z;02-Dec-2018 16:02;132.1K
drupal.stackexchange.com.7z;02-Dec-2018 16:17;130.2M
civicrm.stackexchange.com.7z;02-Dec-2018 16:02;13.0M
tridion.stackexchange.com.7z;03-Dec-2018 05:23;13.0M
sharepoint.stackexchange.com.7z;02-Dec-2018 18:38;126.9M
gamedev.stackexchange.com.7z;02-Dec-2018 16:47;124.6M
softwareengineering.meta.stackexchange.com.7z;02-Dec-2018 18:39;12.8M
stackoverflow.com-Posts.7z;03-Dec-2018 04:41;12.8G
gaming.meta.stackexchange.com.7z;02-Dec-2018 16:47;12.3M
matheducators.stackexchange.com.7z;02-Dec-2018 17:43;12.3M
avp.stackexchange.com.7z;02-Dec-2018 15:57;12.2M
sitecore.stackexchange.com.7z;02-Dec-2018 18:38;12.1M
scifi.meta.stackexchange.com.7z;02-Dec-2018 18:25;12.0M
ell.stackexchange.com.7z;02-Dec-2018 16:27;110.0M
homebrew.stackexchange.com.7z;02-Dec-2018 16:59;11.8M
robotics.stackexchange.com.7z;02-Dec-2018 18:16;11.8M
earthscience.stackexchange.com.7z;02-Dec-2018 16:18;11.7M
health.stackexchange.com.7z;02-Dec-2018 16:56;11.7M
sports.stackexchange.com.7z;02-Dec-2018 18:42;11.3M
physics.meta.stackexchange.com.7z;02-Dec-2018 18:01;11.0M
stackexchange_files.xml;03-Dec-2018 12:19;102.9K
