"Id","TotalComment","ViewCount"
12965,25,1145
12983,12,1029
12993,18,7240
12999,19,3275
13012,19,909
13017,7,1615
13026,3,1221
13041,17,21758
13064,9,9041
13066,9,476
13070,5,404
13071,45,20154
13090,23,616
13095,31,20894
13116,7,314
13119,8,1079
13120,7,940
13133,30,8882
13139,8,1116
13155,8,378
13163,9,940
13166,6,1884
13169,15,1525
13172,13,1235
13176,7,863
13177,7,909
13210,14,19294
13216,12,1230
13221,32,36218
13230,3,399
13236,11,1435
13242,24,2193
13268,11,1509
13282,54,25654
13303,4,674
13311,20,3566
13315,7,1354
13317,9,6012
13319,3,538
13327,28,2477
13330,5,366
13348,11,577
13356,3,1627
13363,8,8977
13368,24,5267
13371,22,11800
13379,14,25904
13384,13,4851
13393,11,902
13402,5,12761
13435,17,3039
13441,19,14009
13452,3,301
13457,12,719
13464,36,3480
13468,8,1196
13494,6,767
13495,13,1290
13513,12,1266
13514,10,1265
13517,13,3746
13523,7,399
13547,17,9558
13548,6,1032
13553,7,5478
13562,28,19315
13580,15,12474
13582,28,16185
13600,9,3262
13604,20,5171
13617,4,2588
13628,27,18039
13630,6,1048
13639,2,181
13643,7,1058
13644,25,7775
13653,29,14376
13662,4,753
13679,7,1111
13688,6,428
13691,5,1519
13698,14,3218
13708,13,11686
13712,6,649
13718,28,8533
13721,7,1654
13726,13,331
13743,14,15335
13745,8,657
13761,9,802
13773,16,11610
13777,3,272
13779,5,191
13784,4,566
13795,10,438
13802,8,8002
13812,4,325
13820,11,778
13822,13,14006
13834,9,610
13836,10,588
13847,6,552
13854,11,1742
13855,2,393
13869,10,625
13870,8,668
13874,10,1039
13881,7,1859
13887,1,348
13889,33,18645
13892,6,8312
13899,36,6988
13928,20,859
13932,8,372
13949,13,1214
13954,17,10679
13963,28,16122
13971,36,16158
13989,11,10074
13995,3,210
13999,4,614
14012,6,357
14017,1,521
14018,10,589
14024,6,924
14027,19,11531
14037,9,662
14038,7,432
14042,18,14077
14053,10,1477
14065,2,341
14072,4,677
14074,11,1200
14078,24,2991
14084,7,592
14091,5,524
14092,28,2503
14096,5,710
14097,6,1173
14104,8,554
14105,27,1343
14108,3,979
14109,10,1971
14110,18,458
14114,4,201
14118,1,455
14129,11,578
14139,17,1372
